GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900030496200,Hartford County,75954,0.4293527803099362,0.05013077593722755
G0900030496300,Hartford County,97188,0.5509964830011723,0.05194109772423026
G0900030496400,Hartford County,137000,0.6728334956183057,0.014854827819041188
G0900030496500,Hartford County,133375,0.8125352907961604,0.025969138125705685
G0900030496600,Hartford County,117434,0.672082717872969,0.031227038941954444
G0900030496700,Hartford County,61193,0.46580483736447037,0.12163996741786587
G0900030496800,Hartford County,80324,0.3717892903787549,0.09538850284270373
G0900030496900,Hartford County,82074,0.628254471360652,0.14373286013873204
G0900030497000,Hartford County,180625,0.807909604519774,0.04120017913121361
G0900030497100,Hartford County,73043,0.6495114006514658,0.10827858081471747
G0900030497200,Hartford County,117583,0.6690789473684211,0.019230769230769232
G0900030497300,Hartford County,116786,0.7071129707112971,0.07157146032451656
G0900030497400,Hartford County,148750,0.8536853685368537,0.0255139955412435
G0900030497500,Hartford County,91786,0.6445182724252492,0.15293141592920353
G0900030497600,Hartford County,145000,0.7966305655836342,0.04885701479157328
G0900030497700,Hartford County,185972,0.809106239460371,0.01933763058457435
G0900030500100,Hartford County,30184,0.09866666666666667,0.3878758008871365
G0900030500200,Hartford County,25455,0.15514705882352942,0.5020731247644177
G0900030500300,Hartford County,23633,0.15079872204472844,0.3809976247030879
G0900030500400,Hartford County,31389,0.14368370298939248,0.3837902264600715
G0900030500500,Hartford County,40337,0.3547297297297297,0.3340192043895748
G0900030500700,Hartford County,NA,0,0
G0900030500900,Hartford County,24359,0.06636155606407322,0.384
G0900030501200,Hartford County,24176,0.07511737089201878,0.4434574649812094
G0900030501300,Hartford County,27875,0.07589285714285714,0.4489112227805695
G0900030501400,Hartford County,20046,0.06336753168376584,0.3885245901639344
G0900030501500,Hartford County,37798,0.09406438631790745,0.27162117724432755
G0900030501700,Hartford County,31103,0.05110336817653891,0.37823834196891193
G0900030501800,Hartford County,21410,0.043037974683544304,0.4898798228969007
G0900030502100,Hartford County,78371,0.7530674846625767,0.15552643075578856
G0900030502300,Hartford County,49583,0.13656975193384902,0.18271152564956694
G0900030502400,Hartford County,31250,0.0891993551853842,0.38412955465587045
G0900030502500,Hartford County,38902,0.1393188854489164,0.21699406121516673
G0900030502600,Hartford County,36100,0.15473639091298758,0.18194070080862534
G0900030502700,Hartford County,24107,0.13372093023255813,0.2645600991325898
G0900030502800,Hartford County,27368,0.0525990099009901,0.4920104050538833
G0900030502900,Hartford County,36597,0.23868778280542988,0.21206836414370422
G0900030503000,Hartford County,22125,0.0715962441314554,0.33224873463485177
G0900030503100,Hartford County,29083,0.23693259972489683,0.25468354430379747
G0900030503300,Hartford County,27188,0.1517199017199017,0.39595959595959596
G0900030503500,Hartford County,33641,0.06854345165238677,0.34465086483023705
G0900030503700,Hartford County,42778,0.09510720175920835,0.23358535614803025
G0900030503800,Hartford County,32727,0.1948529411764706,0.4037433155080214
G0900030503900,Hartford County,54632,0.15548329884717707,0.08712529652792754
G0900030504000,Hartford County,48967,0.1830601092896175,0.14130434782608695
G0900030504100,Hartford County,27353,0.09619238476953908,0.4474009900990099
G0900030504200,Hartford County,24757,0.30156739811912225,0.4742349457058243
G0900030504300,Hartford County,25526,0.0968950749464668,0.38915936384290817
G0900030504500,Hartford County,32061,0.11551433389544688,0.31132612407512805
G0900030504800,Hartford County,49046,0.16660454714871412,0.1852013057671382
G0900030504900,Hartford County,37002,0.11653290529695023,0.28644392423919984
G0900030510100,Hartford County,66458,0.2532722513089005,0.08441247002398082
G0900030510200,Hartford County,44151,0.1524390243902439,0.17836965294592413
G0900030510300,Hartford County,50354,0.11500590783773139,0.10994891753831185
G0900030510400,Hartford County,36771,0.09626073774633653,0.23409992069785884
G0900030510500,Hartford County,53664,0.2802816901408451,0.15446304044630405
G0900030510600,Hartford County,41174,0.1474820143884892,0.2221458046767538
G0900030510700,Hartford County,54072,0.16104429451452038,0.12286689419795221
G0900030510800,Hartford County,53125,0.17325227963525835,0.10379177377892031
G0900030510900,Hartford County,86964,0.28835280814172637,0.06982613572630399
G0900030511000,Hartford County,79719,0.2887658227848101,0.07188669160876536
G0900030511100,Hartford County,92163,0.2860243055555556,0.03393457658208499
G0900030511200,Hartford County,60625,0.15232108317214701,0.28019461934745277
G0900030511300,Hartford County,51795,0.20346320346320346,0.10185449358059914
G0900030511400,Hartford County,80254,0.2012121212121212,0.08213193534294452
G0900030514101,Hartford County,90391,0.41915940931465356,0.05310504933255949
G0900030514102,Hartford County,83106,0.6928022861225219,0.04112173038229376
G0900030514200,Hartford County,59602,0.263668430335097,0.14304123711340205
G0900030514300,Hartford County,64543,0.33345145287030475,0.06121412242824486
